[2023-08-09 16:55:45.077494] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: main_menu
[2023-08-09 16:55:47.320217] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: mm_okay
[2023-08-09 16:55:48.426855] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: semestr_menu
[2023-08-10 23:22:00.142583] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: main_menu
[2023-08-10 23:22:02.399213] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: mm_okay
[2023-08-10 23:22:05.591377] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /db
[2023-08-10 23:22:07.393995] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-10 23:22:12.673886] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /db all
[2023-08-10 23:22:18.262014] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-10 23:27:10.861929] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: uch_mat_03
[2023-08-10 23:27:11.921212] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: cal_sem_03
[2023-08-10 23:27:13.001548] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: uch_mat_03
[2023-08-10 23:27:13.757918] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: lib_sem_03
[2023-08-10 23:45:29.076141] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: uch_mat_03
[2023-08-10 23:45:31.772335] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: lib_sem_03
[2023-08-10 23:45:33.183537] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: uch_mat_03
[2023-08-10 23:45:34.380089] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: cal_sem_03
[2023-08-10 23:45:35.439014] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: uch_mat_03
[2023-08-11 01:26:09.102775] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: main_menu
[2023-08-11 01:26:11.172786] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: mm_okay
[2023-08-11 01:26:13.548637] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: semestr_menu
[2023-08-11 01:26:14.664458] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: main_menu
[2023-08-11 01:26:15.923939] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: semestr_menu
[2023-08-11 01:26:16.630500] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: main_menu
[2023-08-11 17:12:04.370836] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: semestr_menu
[2023-08-11 17:12:06.123859] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: main_menu
[2023-08-11 17:12:08.867772] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: mm_okay
[2023-08-11 17:12:10.415280] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: semestr_menu
[2023-08-11 17:12:11.629135] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: main_menu
[2023-08-11 17:12:12.979011] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: semestr_menu
[2023-08-11 17:37:03.967068] ID: 2053916459; ADMIN: False; USER_NAME: alexandrablooms; command: /start
[2023-08-11 17:37:15.615884] ID: 2053916459; ADMIN: False; USER_NAME: alexandrablooms; command: /reg
[2023-08-11 21:17:54.750636] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: rg_accept_ID:2053916459_NM:Sasha_UN:alexandrablooms
[2023-08-11 21:18:42.222308] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: main_menu
[2023-08-11 21:18:43.937559] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: mm_okay
[2023-08-11 21:18:45.224673] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: semestr_menu
[2023-08-11 21:18:52.599606] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /db
[2023-08-11 21:18:57.957077] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-11 21:19:01.099742] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /db all
[2023-08-11 21:19:11.743995] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-11 22:07:02.862620] ID: 2053916459; ADMIN: False; USER_NAME: alexandrablooms; command: /start
[2023-08-11 22:07:08.152803] ID: 2053916459; ADMIN: False; USER_NAME: alexandrablooms; callback: main_menu
[2023-08-11 22:07:15.173405] ID: 2053916459; ADMIN: False; USER_NAME: alexandrablooms; callback: mm_okay
[2023-08-11 22:07:17.561532] ID: 2053916459; ADMIN: False; USER_NAME: alexandrablooms; callback: semestr_menu
[2023-08-11 22:07:18.570088] ID: 2053916459; ADMIN: False; USER_NAME: alexandrablooms; callback: uch_mat_02
[2023-08-11 22:07:20.863342] ID: 2053916459; ADMIN: False; USER_NAME: alexandrablooms; callback: semestr_menu
[2023-08-12 10:01:37.231095] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /db all
[2023-08-12 10:01:49.667132] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-12 14:48:14.358686] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: uch_mat_02
[2023-08-12 14:48:16.533116] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: lib_sem_02
[2023-08-12 14:48:23.694186] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: uch_mat_02
[2023-08-12 14:48:24.722814] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: cal_sem_02
[2023-08-12 14:48:26.055535] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: uch_mat_02
[2023-08-12 14:48:27.313618] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: book_sem_02
[2023-08-12 14:48:28.455106] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: uch_mat_02
[2023-08-12 14:48:29.557904] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: semestr_menu
[2023-08-12 14:59:30.323617] ID: 6293451692; ADMIN: False; USER_NAME: Ruhachka; command: /start
[2023-08-12 14:59:30.324612] ID: 908267353; ADMIN: False; USER_NAME: anti_crab; command: /start
[2023-08-12 14:59:30.893276] ID: 5695091072; ADMIN: False; USER_NAME: cyrusgg; command: /start
[2023-08-12 14:59:30.937402] ID: 981832061; ADMIN: False; USER_NAME: panova18; command: /start
[2023-08-12 14:59:31.124824] ID: 911972109; ADMIN: False; USER_NAME: anyapanfilova994; command: /start
[2023-08-12 14:59:31.174462] ID: 911972109; ADMIN: False; USER_NAME: anyapanfilova994; command: /start
[2023-08-12 14:59:31.371293] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: main_menu
[2023-08-12 14:59:37.468822] ID: 6293451692; ADMIN: False; USER_NAME: Ruhachka; command: /reg
[2023-08-12 14:59:37.903533] ID: 911972109; ADMIN: False; USER_NAME: anyapanfilova994; command: /reg
[2023-08-12 14:59:38.306967] ID: 5695091072; ADMIN: False; USER_NAME: cyrusgg; command: /reg
[2023-08-12 14:59:48.405526] ID: 981832061; ADMIN: False; USER_NAME: panova18; command: /reg
[2023-08-12 14:59:58.363107] ID: 908267353; ADMIN: False; USER_NAME: anti_crab; command: /reg
[2023-08-12 15:00:02.013804] ID: 5695091072; ADMIN: False; USER_NAME: cyrusgg; command: /start
[2023-08-12 15:00:04.028871] ID: 5695091072; ADMIN: False; USER_NAME: cyrusgg; command: /reg
[2023-08-12 15:00:58.007391] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: mm_okay
[2023-08-12 15:02:16.533475] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: rg_accept_ID:6293451692_NM:Руслан_UN:Ruhachka
[2023-08-12 15:03:31.942894] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: rg_accept_ID:5695091072_NM:Ban_UN:cyrusgg
[2023-08-12 15:03:34.192264] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: rg_accept_ID:911972109_NM:Anny_UN:anyapanfilova994
[2023-08-12 15:03:36.720755] ID: 5695091072; ADMIN: False; USER_NAME: cyrusgg; command: /start
[2023-08-12 15:03:39.977231] ID: 5695091072; ADMIN: False; USER_NAME: cyrusgg; callback: uch_mat_02
[2023-08-12 15:03:40.951697] ID: 911972109; ADMIN: False; USER_NAME: anyapanfilova994; command: /start
